"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2006";11.02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2007";11.41;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2008";13.18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2009";12.60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2010";14.04;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2011";14.16;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2012";16.24;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2013";13.77;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2014";12.56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2015";14.60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2016";13.68;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2017";12.26;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2018";14.25;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2019";14.60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2006";1.46;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2007";1.45;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2008";1.77;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2009";1.78;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2010";1.76;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2011";1.79;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2012";2.42;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2013";2.45;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2014";2.55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2015";2.61;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2016";2.46;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2017";2.51;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2018";2.67;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mleko krowie spożywcze o zawartości tłuszczu 2-2.5% - za 1l";"cena";"2019";2.65;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2006";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2007";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2008";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2009";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2010";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2011";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2013";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2014";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2015";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2016";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2017";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2018";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2019";0.63;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2006";3.00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2007";2.99;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2008";4.20;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2009";3.50;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2010";4.20;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2011";4.23;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2012";4.58;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2013";4.44;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2014";4.83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2015";4.46;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2016";4.01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2017";5.12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2018";6.16;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"masło świeże o zawartości tłuszczu ok. 82.5% - za 200 g";"cena";"2019";6.70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2006";1.55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2007";1.78;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2008";1.73;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2009";2.07;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2010";1.72;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"marchew - za 1 kg";"cena";"2011";2.45;"zł";"";
